"ensembl_gene_id","external_gene_name","description","gene_biotype","chromosome_name","start_position","end_position"
"FBgn0042138","Apt1","Acyl-protein thioesterase 1","protein_coding","3L",11628037,11630749
"FBgn0053483","CG33483","","protein_coding","3R",30900718,30902161
"FBgn0053481","dpr7","defective proboscis extension response 7","protein_coding","4",247124,253329
"FBgn0053487","CR33487","","pseudogene","X",20194360,20195360
"FBgn0264922","Sumo","Small ubiquitin like modifier","protein_coding","2L",6966780,6967644
"FBgn0053374","5SrRNA:CR33374","5SrRNA:CR33374","rRNA","2R",19758362,19758496
"FBgn0053375","5SrRNA:CR33375","5SrRNA:CR33375","rRNA","2R",19757993,19758127
"FBgn0053376","5SrRNA:CR33376","5SrRNA:CR33376","rRNA","2R",19757624,19757758
"FBgn0053377","5SrRNA:CR33377","5SrRNA:CR33377","rRNA","2R",19757255,19757389
"FBgn0053370","5SrRNA:CR33370","5SrRNA:CR33370","rRNA","2R",19759842,19759976
"FBgn0053371","5SrRNA-Psi:CR33371","5SrRNA-Psi:CR33371","pseudogene","2R",19759474,19759610
"FBgn0053372","5SrRNA:CR33372","5SrRNA:CR33372","rRNA","2R",19759101,19759235
"FBgn0053373","5SrRNA:CR33373","5SrRNA:CR33373","rRNA","2R",19758735,19758869
"FBgn0035983","CG4080","","protein_coding","3L",9386827,9399227
"FBgn0035982","CG4461","","protein_coding","3L",9375430,9376293
"FBgn0035981","CG4452","","protein_coding","3L",9367377,9370300
"FBgn0035980","mRRF1","mitochondrial ribosome recycling factor 1","protein_coding","3L",9364350,9365240
NA,NA,NA,NA,NA,NA,NA
"FBgn0024250","brk","brinker","protein_coding","X",7307939,7311132
"FBgn0035985","Cpr67B","Cuticular protein 67B","protein_coding","3L",9404797,9406174
"FBgn0263021","CG43316","","protein_coding","2R",12242546,12243273
"FBgn0263020","CG43315","","protein_coding","2R",12241218,12241872
"FBgn0020018","Ppox","Protoporphyrinogen oxidase","protein_coding","3R",24660197,24661851
"FBgn0263023","CG43318","","protein_coding","3R",15832708,15833432
"FBgn0266326","lncRNA:CR44991","long non-coding RNA:CR44991","ncRNA","2L",8403447,8403924
"FBgn0028377","gdl-ORF39","gdl-ORF39","protein_coding","3L",15509445,15510837
"FBgn0028374","Hug","Hugin","protein_coding","3R",12526188,12529076
"FBgn0028375","heix","heixuedian","protein_coding","2L",16296051,16299858
"FBgn0028372","Kpc2","Kip1 ubiquitination-promoting complex subunit 2","protein_coding","2R",19670618,19673477
"FBgn0028370","kek3","kekkon 3","protein_coding","2L",15552723,15583978
"FBgn0028371","jbug","jitterbug","protein_coding","2R",22717321,22740459
"FBgn0263025","HSPBAP1","HSPB1 associated protein 1","protein_coding","3R",27695235,27696531
"FBgn0028379","fan","farinelli","protein_coding","3L",8109132,8110043
"FBgn0267964","CG46244","","protein_coding","2L",19606569,19731561
"FBgn0267965","lncRNA:CR46245","long non-coding RNA:CR46245","ncRNA","X",7134517,7135480
"FBgn0267966","asRNA:CR46246","antisense RNA:CR46246","ncRNA","3L",9597171,9598375
"FBgn0267967","corolla","corolla","protein_coding","X",17629791,17632047
"FBgn0267960","lncRNA:CR46240","long non-coding RNA:CR46240","ncRNA","3L",11317704,11318357
"FBgn0029532","CG13361","","protein_coding","X",752011,753653
"FBgn0267962","lncRNA:CR46242","long non-coding RNA:CR46242","ncRNA","X",14097599,14097965
"FBgn0022702","Cht2","Chitinase 2","protein_coding","3L",1752328,1755934
"FBgn0262028","lncRNA:CR42839","long non-coding RNA:CR42839","ncRNA","3R",16004321,16008073
"FBgn0034976","CG4049","","protein_coding","2R",24107087,24114292
"FBgn0032553","CG4480","","protein_coding","2L",14870371,14872022
"FBgn0039229","Saf-B","Scaffold attachment factor B","protein_coding","3R",24817464,24822350
"FBgn0022709","Ak1","Adenylate kinase 1","protein_coding","3L",12200322,12204082
"FBgn0267969","lncRNA:CR46247","long non-coding RNA:CR46247","ncRNA","X",4062859,4064506
"FBgn0029539","CG11663","","protein_coding","X",894482,895200
"FBgn0039226","Ude","Uracil-DNA degrading factor","protein_coding","3R",24797460,24799668
"FBgn0035181","CG9205","","protein_coding","3L",1034697,1036298
"FBgn0033429","CG12929","","protein_coding","2R",9586110,9586714
"FBgn0035187","Trhn","Tryptophan hydroxylase neuronal","protein_coding","3L",1190384,1193173
"FBgn0038938","CG7084","","protein_coding","3R",22298805,22304420
"FBgn0032231","CG5056","","protein_coding","2L",10366692,10367946
"FBgn0038934","Gld2","GLD2 poly(A) polymerase","protein_coding","3R",22211824,22217415
"FBgn0035189","CG9119","","protein_coding","3L",1203316,1204795
"FBgn0038931","CG13407","","protein_coding","3R",22103414,22105590
"FBgn0038930","BomT3","Bomanin Tailed 3","protein_coding","3R",22085374,22086397
"FBgn0052687","CG32687","","protein_coding","X",10482028,10487205
"FBgn0019809","gcm2","gcm2","protein_coding","2L",9608562,9612706
"FBgn0052685","ZAP3","ZAP3","protein_coding","X",10071858,10082492
"FBgn0032233","dpr19","defective proboscis extension response 19","protein_coding","2L",10376168,10379905
"FBgn0052683","CG32683","","protein_coding","X",10410391,10454895
"FBgn0052681","CG32681","","protein_coding","X",10376651,10381352
"FBgn0087039","Sbp2","SECIS-binding protein 2","protein_coding","3L",8304157,8305325
"FBgn0267036","lncRNA:CR45480","long non-coding RNA:CR45480","ncRNA","X",2269996,2270507
"FBgn0085188","CG34159","","protein_coding","2L",10202520,10204317
"FBgn0087035","AGO2","Argonaute 2","protein_coding","3L",15554113,15561042
"FBgn0031703","Acsf2","Acyl-CoA synthetase family member 2","protein_coding","2L",5339132,5342234
"FBgn0039955","CG41099","","protein_coding","3R",3846729,3868401
"FBgn0259961","CG42471","","protein_coding","2L",11753640,11754022
"FBgn0036102","CG12523","","protein_coding","3L",10801190,10802350
"FBgn0259963","Sfp33A2","Seminal fluid protein 33A2","protein_coding","2L",11837713,11838049
"FBgn0031250","Ent1","Equilibrative nucleoside transporter 1","protein_coding","2L",355565,357874
"FBgn0259965","Sfp35C","Seminal fluid protein 35C","protein_coding","2L",15201613,15202092
"FBgn0259964","Sfp33A3","Seminal fluid protein 33A3","protein_coding","2L",11839912,11840329
"FBgn0259967","Sfp53D","Seminal fluid protein 53D","protein_coding","2R",16744295,16745114
"FBgn0259966","Sfp51E","Seminal fluid protein 51E","protein_coding","2R",15192628,15193228
"FBgn0259969","Sfp65A","Seminal fluid protein 65A","protein_coding","3L",6350276,6350829
"FBgn0259968","Sfp60F","Seminal fluid protein 60F","protein_coding","2R",25172245,25172695
"FBgn0267035","asRNA:CR45479","antisense RNA:CR45479","ncRNA","X",2173480,2175855
"FBgn0001978","stc","shuttle craft","protein_coding","2L",15113480,15118069
"FBgn0266800","lncRNA:CR45262","long non-coding RNA:CR45262","ncRNA","2L",9261820,9262804
"FBgn0033421","CG1888","","protein_coding","2R",9541947,9548135
"FBgn0262026","CG42837","","protein_coding","2R",16197042,16199378
"FBgn0031707","CG14020","","protein_coding","2L",5517737,5518949
"FBgn0036106","CG6409","","protein_coding","3L",10880699,10882386
"FBgn0033427","Smyd4-1","SET and MYND domain containing, class 4, member 1","protein_coding","2R",9581761,9584545
"FBgn0052359","tRNA:Leu-CAG-1-3","transfer RNA:Leucine-CAG 1-3","tRNA","3L",8060451,8060533
"FBgn0052358","tRNA:Leu-CAG-1-2","transfer RNA:Leucine-CAG 1-2","tRNA","3L",8060214,8060296
"FBgn0036988","CG5262","","protein_coding","3L",20427962,20430475
"FBgn0052428","CG32428","","protein_coding","3L",20469674,20473723
"FBgn0085223","CG34194","","protein_coding","2R",17544190,17545045
"FBgn0052351","S-Lap2","Sperm-Leucylaminopeptidase 2","protein_coding","3L",8619888,8622091
"FBgn0052350","Vps11","Vacuolar protein sorting 11","protein_coding","3L",23147656,23150499
"FBgn0036980","RhoBTB","Rho-related BTB domain containing","protein_coding","3L",20376242,20382398
"FBgn0036105","Blos4","Biogenesis of lysosome-related organelles complex 1, subunit 4","protein_coding","3L",10879085,10880188
"FBgn0036986","CG5282","","protein_coding","3L",20424424,20426071
"FBgn0052354","CG32354","","protein_coding","3L",8415857,8422205
"FBgn0052425","CG32425","","protein_coding","3L",20497323,20514107
"FBgn0036985","zye","zye","protein_coding","3L",20413604,20424309
"FBgn0028952","Kebab","Kinetochore and EB1 associated basic protein","protein_coding","2L",2045494,2048054
"FBgn0028953","CG14478","","protein_coding","2R",17457663,17465795
"FBgn0028950","CG15255","","protein_coding","2L",15610171,15611719
"FBgn0265187","Fatp2","Fatty acid transport protein 2","protein_coding","2R",23055474,23061549
"FBgn0265180","CG44245","","protein_coding","2R",21200483,21212969
"FBgn0019940","Rh6","Rhodopsin 6","protein_coding","3R",15483158,15484699
"FBgn0265182","CG44247","","protein_coding","2R",24876691,24881221
"FBgn0266322","asRNA:CR44987","antisense RNA:CR44987","ncRNA","2L",71039,73836
"FBgn0265188","CG44253","","protein_coding","2R",23058248,23058793
"FBgn0265189","sud1","sudestada1","protein_coding","3R",24915840,24917864
"FBgn0025620","CG13360","","protein_coding","X",787855,790089
"FBgn0261514","NimA","Nimrod A","protein_coding","2L",13957539,13963381
"FBgn0264598","PsGEF","Protostome-specific GEF","protein_coding","X",2367121,2387664
"FBgn0264599","asRNA:CR43948","antisense RNA:CR43948","ncRNA","2R",9976996,9979584
"FBgn0032401","Plzf","Promyelocytic leukemia zinc finger","protein_coding","2L",12046711,12048918
"FBgn0262024","CG42835","","protein_coding","3R",17420638,17420989
"FBgn0267100","lncRNA:CR45540","long non-coding RNA:CR45540","ncRNA","X",9581493,9581917
"FBgn0026384","Or59a","Odorant receptor 59a","protein_coding","2R",23439868,23441065
"FBgn0026620","tacc","transforming acidic coiled-coil protein","protein_coding","3R",4733654,4749056
"FBgn0265449","lncRNA:CR44349","long non-coding RNA:CR44349","ncRNA","3R",17518210,17519084
"FBgn0035853","UbcE2M","NEDD8-conjugating enzyme UbcE2M","protein_coding","3L",8195847,8197987
"FBgn0000499","dsh","dishevelled","protein_coding","X",11355881,11358724
"FBgn0030073","CG10962","","protein_coding","X",8972908,8974255
"FBgn0265646","lncRNA:CR44453","long non-coding RNA:CR44453","ncRNA","2R",12839233,12839850
"FBgn0036288","CG10660","","protein_coding","3L",12486668,12490676
"FBgn0000490","dpp","decapentaplegic","protein_coding","2L",2428372,2459823
"FBgn0000492","Dr","Drop","protein_coding","3R",29556386,29565244
"FBgn0265644","lncRNA:CR44451","long non-coding RNA:CR44451","ncRNA","2R",9214095,9215145
"FBgn0265448","lncRNA:CR44348","long non-coding RNA:CR44348","ncRNA","3L",9741403,9744403
"FBgn0030077","CG15365","","protein_coding","X",9054698,9067983
"FBgn0265642","lncRNA:TS18","long noncoding RNA: testis-specific 18","ncRNA","2R",8310521,8311234
"FBgn0039187","CG6454","","protein_coding","3R",24349182,24356241
"FBgn0039186","CG5746","","protein_coding","3R",24343895,24348791
"FBgn0034168","CG15614","","protein_coding","2R",16945555,16947231
"FBgn0039184","CG6432","","protein_coding","3R",24336922,24340645
"FBgn0039183","Dis3","Dis3","protein_coding","3R",24333433,24337248
"FBgn0039182","Rrp5","Ribosomal RNA Processing 5","protein_coding","3R",24328455,24333316
"FBgn0039180","CG5715","","protein_coding","3R",24293366,24294399
"FBgn0034162","CG6426","","protein_coding","2R",16869402,16871851
"FBgn0031403","CG15387","","protein_coding","2L",2225545,2226294
"FBgn0034160","CG5550","","protein_coding","2R",16816589,16817577
"FBgn0031401","papi","papi","protein_coding","2L",2220748,2225544
"FBgn0034166","CG6472","","protein_coding","2R",16880713,16884695
"FBgn0031407","CG4270","","protein_coding","2L",2263442,2264241
"FBgn0039189","CG18528","","protein_coding","3R",24358095,24360144
"FBgn0039188","Golgin84","Golgin-84","protein_coding","3R",24356070,24357938
"FBgn0267586","asRNA:CR45924","antisense RNA:CR45924","ncRNA","2R",9075158,9075951
"FBgn0267587","asRNA:CR45925","antisense RNA:CR45925","ncRNA","2R",19396500,19396849
"FBgn0267106","CG45546","","protein_coding","3R",29369338,29369777
"FBgn0034774","CG13526","","protein_coding","2R",22755219,22755896
"FBgn0267582","lncRNA:CR45922","long non-coding RNA:CR45922","ncRNA","3L",18037723,18038280
"FBgn0037129","CG14565","","protein_coding","3L",21743248,21744269
"FBgn0267581","lncRNA:CR45921","long non-coding RNA:CR45921","ncRNA","3L",17981321,17981841
"FBgn0037127","CG14566","","protein_coding","3L",21739479,21740309
"FBgn0031077","THADA","THADA","protein_coding","X",19859743,19865524
"FBgn0037125","CG14573","","protein_coding","3L",21734099,21734788
"FBgn0037124","CG14568","","protein_coding","3L",21732806,21733487
"FBgn0037123","CG14569","","protein_coding","3L",21730725,21731550
"FBgn0037122","CG14570","","protein_coding","3L",21729675,21730454
"FBgn0267588","asRNA:CR45926","antisense RNA:CR45926","ncRNA","2R",23905334,23906700
"FBgn0000227","Elba1","Early boundary activity 1","protein_coding","2L",4683052,4684461
"FBgn0025821","I-t","inhibitor-t","protein_coding","3R",11704030,11704916
"FBgn0025820","JTBR","JTBR","protein_coding","3L",1802008,1802856
"FBgn0032397","Tom70","Translocase of outer membrane 70","protein_coding","2L",12035984,12038511
"FBgn0025825","HDAC3","Histone deacetylase 3","protein_coding","3R",5472810,5474600
"FBgn0025827","CG6421","","protein_coding","2R",16872250,16872906
"FBgn0031074","SkpE","SKP1-related E","protein_coding","X",19823368,19824080
"FBgn0039459","IntS12","Integrator 12","protein_coding","3R",26863376,26864559
"FBgn0033808","CG4627","","protein_coding","2R",13214706,13215760
"FBgn0033809","CG4630","","protein_coding","2R",13215659,13219247
"FBgn0039451","CG6420","","protein_coding","3R",26719847,26725216
NA,NA,NA,NA,NA,NA,NA
"FBgn0039453","CG6403","","protein_coding","3R",26735417,26736307
"FBgn0039452","CG14245","","protein_coding","3R",26728727,26729341
"FBgn0039454","CG14247","","protein_coding","3R",26737610,26738593
"FBgn0033802","CG17724","","protein_coding","2R",13176094,13190086
"FBgn0034299","CG5757","","protein_coding","2R",18093723,18094900
"FBgn0031668","CG31917","","protein_coding","2L",5009931,5010834
"FBgn0034294","Muc55B","Mucin 55B","protein_coding","2R",18050019,18052107
"FBgn0034295","CG10911","","protein_coding","2R",18052550,18054066
"FBgn0031664","CG8892","","protein_coding","2L",4979513,4981592
"FBgn0034290","CG5773","","protein_coding","2R",18042296,18043744
"FBgn0034291","CG5770","","protein_coding","2R",18044046,18045073
"FBgn0031660","mRpL28","mitochondrial ribosomal protein L28","protein_coding","2L",4973976,4975316
"FBgn0034293","CG14495","","protein_coding","2R",18048804,18049922
"FBgn0061362","Polr3K","RNA polymerase III subunit K","protein_coding","2R",20642466,20643785
"FBgn0061360","CG33672","","protein_coding","2R",12634166,12636141
"FBgn0061361","Tcs1","Threonyl-carbamoyl synthesis 1","protein_coding","2R",20642466,20643785
"FBgn0014018","Rel","Relish","protein_coding","3R",9044183,9047977
"FBgn0014019","Rh5","Rhodopsin 5","protein_coding","2L",12008153,12009832
"FBgn0030137","CG15317","","protein_coding","X",9555607,9556544
"FBgn0030136","RpS28b","Ribosomal protein S28b","protein_coding","X",9554623,9555661
"FBgn0014010","Rab5","Rab5","protein_coding","2L",2359142,2365273
"FBgn0014011","Rac2","Rac2","protein_coding","3L",7432762,7435190
"FBgn0267105","CG45545","","protein_coding","3R",7552008,7552298
"FBgn0266769","lncRNA:CR45234","long non-coding RNA:CR45234","ncRNA","3L",18196172,18196932
"FBgn0266768","lncRNA:CR45233","long non-coding RNA:CR45233","ncRNA","3L",14410117,14410698
"FBgn0283678","Osi21","Osiris 21","protein_coding","2L",11284327,11285706
"FBgn0266764","lncRNA:CR45229","long non-coding RNA:CR45229","ncRNA","2R",20150683,20150945
"FBgn0266766","lncRNA:CR45231","long non-coding RNA:CR45231","ncRNA","2R",19784294,19789736
"FBgn0004242","Syt1","Synaptotagmin 1","protein_coding","2L",2772327,2799979
"FBgn0266763","lncRNA:CR45228","long non-coding RNA:CR45228","ncRNA","2R",10946309,10947095
"FBgn0266762","CR45227","","pseudogene","2R",3468952,3470223
"FBgn0038250","CG3505","","protein_coding","3R",14657447,14659228
"FBgn0038973","Pebp1","Phosphatidylethanolamine-binding protein 1","protein_coding","3R",22466034,22466679
"FBgn0038972","CG7054","","protein_coding","3R",22464985,22465938
"FBgn0050449","tRNA:Glu-CTC-5-1Psi","transfer RNA:Glutamic acid-CTC 5-1 pseudogene","pseudogene","2R",19729282,19729353
"FBgn0052219","CG32219","","protein_coding","3L",19950023,19951135
"FBgn0050447","CG30447","","protein_coding","2R",19947196,19948080
"FBgn0250816","AGO3","Argonaute 3","protein_coding","3L",23554593,23689640
"FBgn0050115","GEFmeso","Guanine nucleotide exchange factor in mesoderm","protein_coding","2R",18554119,18611777
"FBgn0050114","CG30114","","protein_coding","2R",18207755,18208978
"FBgn0050441","IFT20","Intraflagellar transport 20","protein_coding","2R",5351717,5352122
"FBgn0050440","CG30440","","protein_coding","2R",5468319,5495861
"FBgn0027280","orion","orion","protein_coding","X",7941478,7946908
"FBgn0027287","Gmap","Golgi microtubule-associated protein","protein_coding","X",15486922,15511223
"FBgn0263802","lncRNA:CR43605","long non-coding RNA:CR43605","ncRNA","2R",10760778,10761668
"FBgn0036298","nst","nesthocker","protein_coding","3L",12527215,12530171
"FBgn0036299","Tsf2","Transferrin 2","protein_coding","3L",12530436,12533724
"FBgn0036294","CG10654","","protein_coding","3L",12505374,12507840
"FBgn0038976","Pfdn5","Prefoldin 5","protein_coding","3R",22487039,22488110
"FBgn0036292","CG10646","","protein_coding","3L",12502467,12503894
"FBgn0036290","CG10638","","protein_coding","3L",12498106,12501311
"FBgn0036291","CG10681","","protein_coding","3L",12501513,12502647
"FBgn0030745","CG4239","","protein_coding","X",16385278,16388702
"FBgn0034839","CG13540","","protein_coding","2R",23270477,23271059
"FBgn0040699","CG15024","","protein_coding","3L",4462974,4463823
"FBgn0002773","Mlc2","Myosin light chain 2","protein_coding","3R",30171438,30174551
"FBgn0039907","lgs","legless","protein_coding","4",436957,443911
"FBgn0034833","CG13539","","protein_coding","2R",23183977,23185288
"FBgn0040697","Teh3","tipE homolog 3","protein_coding","3L",4182645,4184663
"FBgn0040696","CG18675","","protein_coding","3L",4173884,4192968
"FBgn0040694","CG14974","","protein_coding","3L",3620433,3621032
"FBgn0038450","CG17560","","protein_coding","3R",16617950,16619878
"FBgn0036861","CG14089","","protein_coding","3L",19280120,19280800
"FBgn0024912","agt","O-6-alkylguanine-DNA alkyltransferase","protein_coding","3R",6658806,6660100
"FBgn0038320","Cyfip","Cytoplasmic FMR1 interacting protein","protein_coding","3R",15333266,15338365
"FBgn0038321","Nagk","N-acetylglucosamine kinase","protein_coding","3R",15337908,15343256
"FBgn0038324","Tmtc4","Transmembrane O-mannosyltransferase targeting cadherins 4","protein_coding","3R",15351225,15353926
"FBgn0038325","Atg4b","Autophagy-related 4b","protein_coding","3R",15353720,15356924
"FBgn0038326","Hibch","3-hydroxyisobutyryl-CoA hydrolase","protein_coding","3R",15357229,15359263
"FBgn0038327","Trax","Translin associated factor X","protein_coding","3R",15361692,15362850
"FBgn0035407","Asciz","ASCIZ zinc finger protein","protein_coding","3L",3163786,3166250
"FBgn0052213","CG32213","","protein_coding","3L",19475839,19476423
"FBgn0035402","Usp5","Ubiquitin specific protease 5","protein_coding","3L",3145405,3148358
"FBgn0052645","CG32645","","protein_coding","X",13139199,13153462
"FBgn0035400","CG11537","","protein_coding","3L",3128034,3143457
"FBgn0035401","Alg2","ALG2, alpha-1,3/1,6-mannosyltransferase","protein_coding","3L",3143808,3145284
"FBgn0266264","asRNA:CR44959","antisense RNA:CR44959","ncRNA","X",6089878,6090648
"FBgn0052644","Mur11Da","Mucin related 11Da","protein_coding","X",12967888,12970056
"FBgn0035409","CG14963","","protein_coding","3L",3171614,3172545
"FBgn0033112","Spn42Db","Serpin 42Db","protein_coding","2R",6879285,6880770
"FBgn0033113","Spn42Dc","Serpin 42Dc","protein_coding","2R",6880995,6883407
"FBgn0036470","EAChm","Enhancer of Acetyltransferase Chameau","protein_coding","3L",15054777,15055565
"FBgn0036471","CG13460","","protein_coding","3L",15061029,15061705
"FBgn0266358","lncRNA:CR45006","long non-coding RNA:CR45006","ncRNA","2L",1345965,1346331
"FBgn0033117","CG3358","","protein_coding","2R",6923366,6924929
"FBgn0036474","Or71a","Odorant receptor 71a","protein_coding","3L",15076907,15078447
"FBgn0033115","Spn42De","Serpin 42De","protein_coding","2R",6885552,6888262
"FBgn0266354","CG45002","","protein_coding","X",16969069,17066732
"FBgn0266355","lncRNA:CR45003","long non-coding RNA:CR45003","ncRNA","X",21409402,21410546
"FBgn0266356","lncRNA:CR45004","long non-coding RNA:CR45004","ncRNA","2L",20664882,20668605
"FBgn0036479","CG13458","","protein_coding","3L",15113557,15116373
"FBgn0266350","lncRNA:CR44999","long non-coding RNA:CR44999","ncRNA","X",3373159,3522787
"FBgn0002778","mnd","minidiscs","protein_coding","3L",14985100,14991667
"FBgn0266352","asRNA:CR45001","antisense RNA:CR45001","ncRNA","X",16632490,16632839
"FBgn0040529","COX7A","Cytochrome c oxidase subunit 7A","protein_coding","3R",8339944,8341043
"FBgn0040528","CG15864","","protein_coding","3R",8248438,8250324
"FBgn0035831","Pop4","POP4 ribonuclease P/MRP subunit","protein_coding","3L",7977805,7978650
"FBgn0040524","CG11052","","protein_coding","3R",8008249,8009297
"FBgn0005590","scw","screw","protein_coding","2L",19699379,19700968
"FBgn0015721","ktub","king tubby","protein_coding","2R",21101928,21123704
"FBgn0001078","ftz-f1","ftz transcription factor 1","protein_coding","3L",18750607,18801309
"FBgn0001079","fu","fused","protein_coding","X",18657755,18661204
"FBgn0004554","Edg91","Ecdysone-dependent gene 91","protein_coding","3R",17610856,17611511
"FBgn0001075","ft","fat","protein_coding","2L",4198404,4221796
"FBgn0004556","Dbp73D","Dead box protein 73D","protein_coding","3L",16728496,16730818
"FBgn0001077","ftz","fushi tarazu","protein_coding","3R",6864324,6866244
"FBgn0043533","Obp56f","Odorant-binding protein 56f","protein_coding","2R",19713395,19713976
"FBgn0004003","wbl","windbeutel","protein_coding","2R",19249395,19250917
"FBgn0004552","Akh","Adipokinetic hormone","protein_coding","3L",4141467,4142070
"FBgn0030964","Pvf1","PDGF- and VEGF-related factor 1","protein_coding","X",18832682,18842901
"FBgn0002522","lab","labial","protein_coding","3R",6661427,6678590
"FBgn0002521","pho","pleiohomeotic","protein_coding","4",1172469,1181628
"FBgn0002526","LanA","Laminin A","protein_coding","3L",6203831,6218022
"FBgn0002525","Lam","Lamin","protein_coding","2L",5542480,5546642
"FBgn0002524","lace","lace","protein_coding","2L",15499127,15505018
"FBgn0013767","Crz","Corazonin","protein_coding","3R",14314854,14315716
"FBgn0013765","cnn","centrosomin","protein_coding","2R",13439314,13450475
"FBgn0013764","Chi","Chip","protein_coding","2R",24031538,24033943
"FBgn0013763","Idgf6","Imaginal disc growth factor 6","protein_coding","2R",16691022,16693751
"FBgn0004066","Prosalpha4","Proteasome alpha4 subunit","protein_coding","X",16276270,16277587
"FBgn0011566","Smyd3","SET and MYND domain containing, class 3","protein_coding","X",2606680,2608876
"FBgn0053731","sncRNA:430e","small non-coding RNA 430e","ncRNA","2L",21463194,21463229
"FBgn0264604","lncRNA:CR43953","long non-coding RNA:CR43953","ncRNA","3L",8230961,8231697
"FBgn0264605","CG43954","","protein_coding","3L",16676406,16711677
"FBgn0264606","Fife","Fife","protein_coding","3L",2655415,2711690
"FBgn0264607","CaMKII","Calcium/calmodulin-dependent protein kinase II","protein_coding","4",1035288,1053703
"FBgn0264600","lncRNA:CR43949","long non-coding RNA:CR43949","ncRNA","3L",16020409,16021506
"FBgn0264601","lncRNA:CR43950","long non-coding RNA:CR43950","ncRNA","3L",16017165,16018317
"FBgn0264602","lncRNA:CR43951","long non-coding RNA:CR43951","ncRNA","3L",16049235,16050303
"FBgn0264603","lncRNA:CR43952","long non-coding RNA:CR43952","ncRNA","3L",6036490,6036915
"FBgn0262291","mir-956","mir-956 stem loop","ncRNA","3L",11773731,11773878
"FBgn0262290","mir-iab-8","mir-iab-8 stem loop","ncRNA","3R",16856275,16856342
"FBgn0262293","mir-2490","mir-2490 stem loop","ncRNA","2L",23168825,23168899
"FBgn0262297","mir-2496","mir-2496 stem loop","ncRNA","X",2010300,2010417
"FBgn0265959","rdgC","retinal degeneration C","protein_coding","3L",20248080,20265554
"FBgn0265958","lncRNA:CR44745","long non-coding RNA:CR44745","ncRNA","2L",5387551,5388632
"FBgn0265953","lncRNA:CR44740","long non-coding RNA:CR44740","ncRNA","2L",18945700,18946154
"FBgn0265952","lncRNA:CR44739","long non-coding RNA:CR44739","ncRNA","2L",18899564,18900494
"FBgn0265951","lncRNA:CR44738","long non-coding RNA:CR44738","ncRNA","2L",18906124,18906747
"FBgn0265950","lncRNA:CR44737","long non-coding RNA:CR44737","ncRNA","2L",18893611,18896798
"FBgn0265957","lncRNA:CR44744","long non-coding RNA:CR44744","ncRNA","2L",5258942,5259992
"FBgn0265956","lncRNA:CR44743","long non-coding RNA:CR44743","ncRNA","2L",5287447,5288667
"FBgn0265955","lncRNA:CR44742","long non-coding RNA:CR44742","ncRNA","2L",5287848,5288361
"FBgn0265954","lncRNA:CR44741","long non-coding RNA:CR44741","ncRNA","2L",18954584,18954970
"FBgn0266978","lncRNA:CR45429","long non-coding RNA:CR45429","ncRNA","3L",22510266,22511067
"FBgn0266979","lncRNA:CR45430","long non-coding RNA:CR45430","ncRNA","3L",22496342,22497114
"FBgn0052163","CG32163","","protein_coding","3L",16587157,16588143
"FBgn0025629","CG4045","","protein_coding","X",2074795,2075900
"FBgn0025628","CG4199","","protein_coding","X",2066435,2073483
"FBgn0266970","lncRNA:CR45421","long non-coding RNA:CR45421","ncRNA","3L",6154714,6155203
"FBgn0025626","CG4281","","protein_coding","X",2062313,2065142
"FBgn0025625","Sik2","Salt-inducible kinase 2","protein_coding","X",2055310,2061915
"FBgn0025624","CG4025","","protein_coding","X",2076966,2078455
"FBgn0266974","lncRNA:CR45425","long non-coding RNA:CR45425","ncRNA","3L",2503789,2504397
"FBgn0266975","lncRNA:CR45426","long non-coding RNA:CR45426","ncRNA","3L",2319386,2319919
"FBgn0025621","CG16989","","protein_coding","X",793147,797061
"FBgn0266977","CG45428","","protein_coding","3L",22836555,22837070
"FBgn0262144","CG42870","","protein_coding","3R",21736933,21737364
"FBgn0058441","CR40441","","pseudogene","Y",1883796,1883972
"FBgn0030963","CG7101","","protein_coding","X",18830591,18832123
"FBgn0030611","CG15027","","protein_coding","X",15085159,15085827
"FBgn0032577","CG13244","","protein_coding","2L",15916888,15917607
"FBgn0267002","unc-104","uncoordinated-104","protein_coding","2R",16751503,16772671
"FBgn0039215","CG6695","","protein_coding","3R",24655160,24659379
"FBgn0039214","puf","puffyeye","protein_coding","3R",24635270,24650043
"FBgn0039213","atl","atlastin","protein_coding","3R",24625671,24634714
"FBgn0267006","lncRNA:CR45450","long non-coding RNA:CR45450","ncRNA","2L",3856478,3857172
"FBgn0267005","lncRNA:CR45449","long non-coding RNA:CR45449","ncRNA","2L",3854288,3854994
"FBgn0267004","lncRNA:CR45448","long non-coding RNA:CR45448","ncRNA","2L",17105145,17105687
"FBgn0029705","CG12693","","protein_coding","X",4327080,4329457
"FBgn0029706","CG3626","","protein_coding","X",4366417,4371136
"FBgn0267008","lncRNA:CR45452","long non-coding RNA:CR45452","ncRNA","2L",4633881,4634342
"FBgn0029700","CG15576","","protein_coding","X",4251870,4252790
"FBgn0029701","CG12691","","protein_coding","X",4266097,4266669
"FBgn0039219","CG13630","","protein_coding","3R",24717937,24719364
"FBgn0029703","CG12692","","protein_coding","X",4300117,4302346
"FBgn0086710","RpL30","Ribosomal protein L30","protein_coding","2L",19008031,19009306
